Author: Waqar Naseer                                                       MAFD4202 - Team Project: Program #3

                          Sales and Layaway Report         PAGE 1

 Trans Code    Trans Amount    Payment Type    Store Number    Invoice Number        SKU Code        Tax Owing
    S          $1,129.99            DB              2           BE-470032        247R20EHF02EF8E       $146.90

    L            $149.99            DB              2           CB-490034        LFW8H88W84HFW4F        $19.50

    L             $49.99            DB              2           DC-540214        LFW8H88W84HFW4F         $6.50

    S            $149.99            CR              2           EB-570216        247R20EHF02EF8E        $19.50

    S             $10.00            CA              2           ED-590201        AADFSKJ84MS0913         $1.30

    S             $89.99            CR              2           AC-610223        WI8HRW8H43FJSHF        $11.70

    L             $49.99            DB              2           AD-620224        LFW8H88W84HFW4F         $6.50

    S             $29.99            DB              2           EC-660227        WI8HRW8H43FJSHF         $3.90

    S             $10.00            CA              2           ED-670228        SDFSKJ84MS09123         $1.30

    S            $129.99            DB              2           BA-680229        247R20EHF02EF8E        $16.90

    S             $89.99            CR              2           BD-690230        WI8HRW8H43FJSHF        $11.70
                          Sales and Layaway Report         PAGE 3

 Trans Code    Trans Amount    Payment Type    Store Number    Invoice Number        SKU Code        Tax Owing

    S             $10.00            CA              2           BE-700231        SDFSKJ84MS09123         $1.30

    S          $1,129.99            DB              2           BC-710232        247R20EHF02EF8E       $146.90

    S              $9.99            CR              2           CA-720233        WI8HRW8H43FJSHF         $1.30

    S             $29.99            DB              2           DB-760337        WI8HRW8H43FJSH2         $3.90

    S             $10.00            CA              3           DC-770401        SDFSKJ84MS09123         $1.30

    S            $129.99            DB              3           DE-780402        247R20EHF02EF8E        $16.90

    S             $89.99            CR              3           EA-790403        WI8HRW8H43FJSHF        $11.70

    L             $49.99            DB              3           EB-800404        LFW8H88W84HFW4F         $6.50

    S             $20.00            CA              3           ED-820405        SDFSKJ84MS09123         $2.60

    S            $149.99            CR              3           AB-830406        247R20EHF02EF8E        $19.50

    S             $29.99            DB              3           AC-840407        WI8HRW8H43FJSHF         $3.90

    S            $129.99            DB              3           AE-860409        247R20EHF02EF8E        $16.90

    S             $10.00            CA              3           BD-880411        SDFSKJ84MS09123         $1.30

    L          $1,129.99            DB              3           DE-890412        247R20EHF02EF8E       $146.90

    S            $129.99            DB              4           BD-100509        247R20EHF02EF8E        $16.90

    S             $10.00            CA              4           CA-102511        SDFSKJ84MS09123         $1.30

    S          $1,129.99            DB              4           CD-103512        247R20EHF02EF8E       $146.90

    S              $9.99            CR              4           CE-104513        WI8HRW8H43FJSHF         $1.30

    L             $49.99            DB              4           DA-105514        LFW8H88W84HFW4F         $6.50

    S            $149.99            CR              5           DE-108516        247R20EHF02EF8E        $19.50
                          Sales and Layaway Report         PAGE 4

 Trans Code    Trans Amount    Payment Type    Store Number    Invoice Number        SKU Code        Tax Owing

    S             $29.99            DB              5           ED-109517        WI8HRW8H43FJSHF         $3.90

    S            $729.99            DB              5           EB-111519        247R20EHF02EF8E        $94.90

    S             $89.99            CR              5           EA-112523        WI8HRW8H43FJSHF        $11.70

    S             $20.00            CA              5           DB-115525        SDFSKJ84MS09123         $2.60

    S            $149.99            CR              5           DA-116526        247R20EHF02EF8E        $19.50

    S             $29.99            DB              5           CA-117527        WI8HRW8H43FJSHF         $3.90

    S             $10.00            CA              5           CB-118528        SDFSKJ84MS09123         $1.30

    S            $129.49            CA              5           CD-119529        247R20EHF02EF8E        $16.83

    S             $89.99            CR             12           CE-120530        WI8HRW8H43FJSHF        $11.70

    S          $8,010.00            CA             12           DA-121631        SDFSKJ84MS09123     $1,041.30

    S          $1,129.99            DB             12           DB-122632        247R20EHF02EF8E       $146.90

    L            $149.99            DB             12           DE-124634        LFW8H88W84HFW4F        $19.50

    L             $49.99            DB             12           AB-129614        LFW8H88W84HFW4F         $6.50

    S            $149.99            CR             12           AE-132616        247R20EHF02EF8E        $19.50

    S             $10.00            CA              2           BC-134601        AADFSKJ84MS0913         $1.30

    L             $49.99            DB              5           CA-137624        LFW8H88W84HFW4F         $6.50

    S             $20.00            CA              1           CD-139625        SDFSKJ84MS09123         $2.60

    S            $149.99            CR              2           CE-140626        247R20EHF02EF8E        $19.50

    S             $29.99            DB              3           DA-141627        WI8HRW8H43FJSHF         $3.90

    S             $10.00            CA              4           DB-142628        SDFSKJ84MS09123         $1.30
                          Sales and Layaway Report         PAGE 5

 Trans Code    Trans Amount    Payment Type    Store Number    Invoice Number        SKU Code        Tax Owing

    S             $89.99            CR             12           DE-144630        WI8HRW8H43FJSHF        $11.70

    S             $10.00            CA              1           EA-145631        SDFSKJ84MS09123         $1.30

    S          $1,129.99            DB              2           EB-146632        247R20EHF02EF8E       $146.90

    S              $9.99            CR              3           EC-147633        WI8HRW8H43FJSHF         $1.30

    L            $149.99            DB              4           ED-148634        LFW8H88W84HFW4F        $19.50

Total number of S&L records:  85     S&L Total Amount:           $22,838.86
Total number of 'S' records:  69     'S' records total amount:   $19,619.01
Total number of 'L' records:  16     'L' records total amount:    $3,219.85
Total number of 'CA' records:22      Total number of 'CR' records:23       Total number of 'DB' records:40
Percentage of 'CA' records:   25.8%  Percentage of 'CR' records:   27.0%   Percentage of 'DB' records: 47.0%
Total Tax Owing:    $2,969.13
The Store # with highest S&Ltotal transaction amount: Store#:12   Value: $9,669.94
The Store # with lowest S&Ltotal transaction amount: Store#: 2   Value:     0.00